lesssons,sentences
5,Maa caauv jaux
5,Caauv ziangx jaux
5,Gauv hiuz hnaangx
5,Hiuz ziangx hnaangx
5,Gauv nyanc hnaangx caux jaux
5,Maa yaac nyanc hnaangx caux jaux
6,Dae yaac gan jienv maa caux Gauv nyanc jaux
6,Ong maiv oix nyanc jaux
6,Gux yaac maiv nyanc jaux
6,Ong caux gux oix nyanc lai
6,Ong caux gux zouv lai nyanc
6,Meix caux Eix maiv oix nyanc lai
6,Meix caux Eix oix nyanc orv
6,Meix caux Eix caauv orv
7,Ih hnoi naaic mbuo Mienh nyei jaapc hmz hnyangx feix hlaax ziepc betv
7,Njang hnoi naaic Gauv nyei cuotv seix hnoi
7,Aqc hnoi Gauv gan ninh nyei doic nyei maa maaix duqv norm jae
7,Njang hnoi ndorm Gauv oix mingh mbaatc mbiauz
7,Gauv oix maaih deix mbiauz daaih caux jae bun kaeqv mienh nyanc
8,Maa heuc Gauv dorh jienv Meix mingh maaiz lai maaiz orv
8,Gauv caux Meix yangh jauv mingh Muangz Seng mbuo nyei poux
8,Taux poux liuz Meix zorqv duqv norm dorngh daaih gorngv oix maaiz
8,"Gauv oix maaiz deix lai-biangh, maaiz deix dopc, caux deix lai-jaaix"
8,Meix gorngv oix maaiz deix norqc orv
8,Gauv yaac oix maaiz deix dungz-orv
8,Lai-biangh naaic ziepc mbaatv
8,Dopc naaic biaa mbaatv
8,Lai-jaaix naaic yaac ziepc mbaatv
8,Norqc naaic nyeic ziepc mbaatv
8,Dorngh naaic biaa mbaatv
9,Gauv lorz ninh nyei lui-siouv.
9,Ih ndorm jiex sin daaih haiz juangv nyei.
9,"Nyutc cuotv daaih aqv, mv baac maiv gaengh jorm."
9,"Naaiv gorng houc naaic dong gueix,"
9,nyutc njiec mingh maiv lauh jiouc namx aqv.
9,Qingx daaih lungh ndorm nor jiouc namx nyei.
9,Taux aanx deix nor jiouc jorm aqv.
9,Yiem naaiv naaic namx mv baac maiv duih mbiungc.
9,"Haaix ndau yaac nqaai nyei, maiv nangc borngx nziaauz."
10,"Taux siec norm ziangh hoc aqv, nyutc maiv lauh njiec aqv."
10,Maa heuc Meix tengx maa zouv hnaangx.
10,Hmeiv jiemx duqv yietc norm ziangh hoc aqv.
10,"Meix taapv jienv uom, zuov dangh jiouc mbueix aqv."
10,"Uom mbueix aqv, Meix dorh hmeiv daaih ban bieqc caeng."
10,Meix manc-manc qouv jienv hnaangx.
10,"Uom mbueix aqv, Meix ban duqv deix hnaangx daaih nanv mangc gaax maau nyei fai."
10,"Meix ban daaih nanv camv-nzunc aqv,"
10,"Ban daaih nanv da'feix uov nzunc, Meix buatc hnaangx maau aqv."
10,"Hnaangx maau daaih, Meix bouh caeng mingh lemh torng aqv."
10,Maa heuc Meix liouh jienv deix torng daaih bun ninh douh caux hnaangx nyanc.
10,"Meix lemh deix torng njiec norm ienv, liuz uov deix lemh guangc mi'aqc."
10,Meix dorh caeng daaih taapv jienv douc-nzauc horngx hnaangx.
10,"Meix lauh lauh qouv dangh, buatc nqaai liuz bouh caeng cuotv douz-nzauc."
11,Gauv mbuo maaih camv-nyungc saeng-kuv.
11,Gux yungz jienv dungz yiem biauv nyei ga'haav.
11,Gux oix zuqc hnoi-hnoi gaatv normh ziuh ndiangx daaih bun dungz nyanc.
11,Maa yungz jienv jae caux aapv yiem biauv-hlen.
11,Maa maiv uonx jienv jae caux aapv.
11,Mv baac jae caux aapv maiv mingh haaix ndau go.
11,Maa dorh hmeiv daaih uix jae caux aapv.
11,Ong yungz dauh ngongh.
11,Ong zanc-zanc heuc Gauv dorh ngongh mingh ndeic nyanc miev.
11,Gauv aqv mingh hlorpv duqv dauh ninh nyei baeqv nyei juv.
11,Gauv nyei juv kungx yiem jienv Gauv nyei ga'hlen.
11,Mingh haaix yaac gaan jienv Gauv mingh.
11,Gauv nyei juv kungx nyanc Gauv mbuo nyanc maiv nzengc nyei lai caux orv.
11,Meix maaih dauh m'lomh miu.
11,Meix a'louc hlorpc jienv m'lomh miu mingh naaiv mingh uov.
11,Maa heuc Meix maiv dungx hlorpv m'lomh miu.
11,Hlorpv liuz oix zuqc nzaauz nzengc buoz.
11,"Meix maiv zuqc uix m'lomh miu, ninh ganh haih mingh lorz naauz nyanc nyei."
12,Ih ndorm jiex sin daaih haiz juangv deix nyei.
12,Gauv zorqv ninh nyei lui-siouv daaih zuqv jienv.
12,"Nzaux ziangx hmien liuz, Gauv mangc lungh buatc mouc opv nzengc."
12,"Gauv hnamv daaih nor, ih hnoi haih duih mbiungc."
12,Gauv heuc Meix caux ninh mingh dorh nzuonx pui jienv ga'nyiec nyei lui-houx.
12,"Yietc zungv nyanc ziangx hnaangx liuz hnangv aqv, jiouc duih mbiungc aqv."
12,Ih hnoi duih mbiungc daaih maiv maaih haaix dauh haih mingh zoux gong.
12,"Maiv haih zoux gong daaih, Gauv mingh caux ninh nyei doic nziaauc."
12,Gauv tutv guangc ninh nyei heih ba'daetv daaih dapc jienv ninh nyei duih mbiungc heih.
12,"Mbiungc duih duqv seix haic, ndau ndorngh ndorngh nyei."
12,"Gauv zorqv faanx daaih bungz nqoi, yaangh jienv jauv-ndorngh mingh."
12,Ndau naaic maiv wuotc daaih kungx nie hnangv.
12,Mingh haaix oix zuqc yaangh longx.
12,La'bieiv yaac mbiangc haic.
12,Caaiv zuqc nor haih ndorpc mun haic.
13,Gauv nyei dae maaih dauh doic heuc Naix Zoih.
13,Gauv nyei dae oix dorh jienv Gauv caux ninh mingh tengx Naix Zoih zoux ndeic.
13,Gauv nzutv duqv deix hnaangx caux orv-nqaai daaih dapv jienv mbuotc buix.
13,Lungh-aanx hnaangx gaux ninh mbuo i muoz dorn-diex nyanc.
13,Ninh mbuo i dauh yangh jauv mingh Naix Zoih uov.
13,Ninh mbuo taux Naix Zoih nyei biauv uov jiouc buatc Naix Zoih yiem gaengh ndaangc.
13,Naix Zoih yiem gaengh ndaangc mbenc jienv ninh nyei ga'naaiv.
13,Naix Youz yiem longx nyei saah?
13,Yiem longx nyei. Gauv yiem longx nyei?
13,Longx nyei
13,A'Gauv ih hnoi yaac tengx jienv youz zoux gong?
13,"Aeqc, youz mbuo tengx yie mbuo camv-nzunc aqv liuz yie yaac oix zuqc tengx deix youz mbuo."
13,Hnangv naaic nor dieh nzunc ie oix zuqc longc qaqv nor ie yaac heuc jienv meih oc?
13,"Maiv benx haaix nyungc lorqc. M'daaih oix zuqc meih tengx ie, ie tengx meih hnangv. Maiv zeiz nor naaic zoux maiv mingh aqv."
13,"Daaih, tengx youz dorh deix ga'naaiv liuz mbuo cuotv jauv aqv."
13,Ninh mbuo buo dauh mingh jienv ndaangc.
13,Ga'haav aengx maaih jienv camv-dauh daaih tengx.
14,Ih hnoi Gauv maiv maaih gong zoux.
14,Ninh oix mingh lorz ninh nyei doic daaih caux ninh mingh mbaatc mbiauz.
14,Gauv nyei doic heuc Saan Yunh.
14,"Saan Yunh nyei biauv maiv go, nqaeqv biaa norm biauv hnangv."
14,"Gauv mingh taux Saan Yunh nyei biauv mingh liuz naaic ninh ""Ih hnoi meih maaih ziangh hoc mingh mbaatc mbiauz nyei?"""
14,"Saan Yunh dau, ""Lauh haic maiv duqv nyaanc mbiauz, oix mingh nor zuov ie nyaanc dangh hnaangx."""
14,"Gauv gorngv, ""Hnangv naaic nor, meih nyaanc hnaangx maah, ie mingh mbenc ga'naaiv."""
14,"Saan Yunh gorngv, ""Mh, maiv benx haaix nyungc. Ie nyanc ziangx nor, mbenc jienv ga'naaiv mingh lorz meih maah."""
14,Gauv nzuonx mingh lorz ninh nyei diux.
14,"Zorqv ziangx diux, ninh mingh biauv-nqaang wetv nie lorz deix naang-nzung."
